classification	db_link	observation_name	SC1703-104_TTGCCC-B6TML_L001_R	SC1703-105_CAGTCT-B6TML_L001_R	SC1703-106_TTAAAT-B6TML_L001_R	SC1703-107_AATTGC-B6TML_L001_R	SC1703-108_ACTCGA-B6TML_L001_R	SC1703-109_GTTACC-B6TML_L001_R	SC1703-110_CAGATG-B6TML_L001_R	SC1703-125_TCGCGC-B6TML_L001_R	SC1703-126_TAACTT-B6TML_L001_R	SC1703-127_CTGTAA-B6TML_L001_R	SC1703-128_CCATTG-B6TML_L001_R	SC1703-129_TAGGCT-B6TML_L001_R	SC1703-130_TTCTTG-B6TML_L001_R	SC1703-131_CCGACC-B6TML_L001_R	SC1703-132_TTAGCT-B6TML_L001_R	SC1703-133_CAGAGC-B6TML_L001_R	SC1703-134_AATATG-B6TML_L001_R	SC1703-135_TGAGCA-B6TML_L001_R	SC1703-136_AATCAC-B6TML_L001_R	SC1703-137_GGTAGC-B6TML_L001_R	SC1703-138_CTCTCG-B6TML_L001_R	SC1703-145_AGCGAC-B6TML_L001_R	SC1703-146_GCCAAG-B6TML_L001_R	SC1703-147_AGGTTC-B6TML_L001_R	SC1703-148_TTTTTC-B6TML_L001_R	SC1703-149_GTCGTG-B6TML_L001_R	SC1703-150_GCTATC-B6TML_L001_R	SC1703-151_TATGCG-B6TML_L001_R	SC1703-41_TCGTTC-B6TML_L001_R	SC1703-42_GCGATG-B6TML_L001_R	SC1703-43_ATATAA-B6TML_L001_R	SC1703-44_ATACTG-B6TML_L001_R	SC1703-45_GGAGAG-B6TML_L001_R	SC1703-46_ACGAGA-B6TML_L001_R	SC1703-47_ATTACA-B6TML_L001_R	SC1703-48_TGATTT-B6TML_L001_R	SC1703-49_GGGGTG-B6TML_L001_R	SC1703-50_ACAAAA-B6TML_L001_R	SC1703-51_CTCCAG-B6TML_L001_R	SC1703-52_GGTGTT-B6TML_L001_R	SC1703-53_CGGGAG-B6TML_L001_R	SC1703-54_TGGTAG-B6TML_L001_R	SC1703-62_TGCGGG-B6TML_L001_R	SC1703-63_TCTATG-B6TML_L001_R	SC1703-64_GGACGG-B6TML_L001_R	SC1703-65_AGAGGG-B6TML_L001_R	SC1703-66_ATGAAC-B6TML_L001_R	SC1703-67_TACCTG-B6TML_L001_R	SC1703-68_CTAGAG-B6TML_L001_R	SC1703-83_CTTGCA-B6TML_L001_R	SC1703-84_CATGTT-B6TML_L001_R	SC1703-85_TGGATT-B6TML_L001_R	SC1703-86_AACGCA-B6TML_L001_R	SC1703-87_TTCGAG-B6TML_L001_R	SC1703-88_AAGCTA-B6TML_L001_R	SC1703-89_AGTTTG-B6TML_L001_R	SC1703-90_TCCCCA-B6TML_L001_R	SC1703-91_AACTAG-B6TML_L001_R	SC1703-92_GTTCGC-B6TML_L001_R	SC1703-93_TGCCTT-B6TML_L001_R	SC1703-94_ATAAGA-B6TML_L001_R	SC1703-95_CACACT-B6TML_L001_R	SC1703-96_ACAGTT-B6TML_L001_R
Lyases;Carbon-nitrogen lyases;Ammonia-lyases;EC:4.3.1.7	https://www.genome.jp/dbget-bin/www_bget?EC:4.3.1.7	EC:4.3.1.7	1424	1856	4895	3670	2063	2640	3605	7742	4862	33154	8744	4574	12302	10352	7152	6836	6390	4165	6822	10584	7482	436	2478	322	2061	709	884	160	6688	3744	6924	22467	2366	9392	8964	8310	6277	5448	2688	3678	3494	2275	3210	7866	3041	2954	5472	4383	5242	12170	15398	6040	25388	13556	8628	23779	13475	16100	14812	15588	11752	9040	11844
Lyases;Carbon-nitrogen lyases;Amidine-lyases;EC:4.3.2.1	https://www.genome.jp/dbget-bin/www_bget?EC:4.3.2.1	EC:4.3.2.1	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Lyases;Carbon-nitrogen lyases;Amidine-lyases;EC:4.3.2.2	https://www.genome.jp/dbget-bin/www_bget?EC:4.3.2.2	EC:4.3.2.2	8592	15824	14532	19558	9529	5761	12530	6516	19174	33107	30362	33569	15337	32905	22969	14429	20455	32672	33034	17970	26526	9685	6081	6443	10616	5002	9369	5066	10196	4608	10864	10302	10400	5951	16596	24864	15772	12282	17307	23246	16093	18400	13674	14821	13168	13550	19919	11658	19091	9650	9653	19192	13043	20356	10115	11250	48858	36163	34506	31032	23761	27976	26930
Lyases;Carbon-nitrogen lyases;Amidine-lyases;EC:4.3.2.3	https://www.genome.jp/dbget-bin/www_bget?EC:4.3.2.3	EC:4.3.2.3	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Lyases;Carbon-nitrogen lyases;Amine-lyases;EC:4.3.3.6	https://www.genome.jp/dbget-bin/www_bget?EC:4.3.3.6	EC:4.3.3.6	1140	338	518	1366	918	349	559	8	15	4	14	5	4	2	1472	546	898	295	1517	456	854	656	866	300	506	196	600	1002	2	0	2	20	3	4	9	3412	164	1131	3898	6164	3666	3855	1200	904	885	666	4085	536	422	4	5	5	15	9	6	8	1964	1724	924	2200	1038	1268	938
Lyases;Carbon-nitrogen lyases;Amine-lyases;EC:4.3.3.7	https://www.genome.jp/dbget-bin/www_bget?EC:4.3.3.7	EC:4.3.3.7	10349	20250	20060	25482	12206	7836	16470	16251	37898	45186	49822	56168	20854	50027	38962	27592	34036	60893	52628	35130	46792	15013	8647	8453	15426	6900	11176	5996	23581	8280	20776	23580	25959	13388	41314	43878	31496	19788	34576	37112	25421	32323	15352	20454	15998	15442	23118	14514	22803	23266	22224	46132	23027	53553	23788	30064	74942	73675	62192	68299	54288	60876	53684
Lyases;Carbon-nitrogen lyases;Other carbon-nitrogen lyases;EC:4.3.99.3	https://www.genome.jp/dbget-bin/www_bget?EC:4.3.99.3	EC:4.3.99.3	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Lyases;Carbon-sulfur lyases;Carbon-sulfur lyases (only sub-subclass identified to date);EC:4.4.1.11	https://www.genome.jp/dbget-bin/www_bget?EC:4.4.1.11	EC:4.4.1.11	233	1305	1338	1495	598	348	395	2874	7160	25	6914	9935	15	5834	3173	2776	3139	3049	7358	3516	4819	89	768	158	205	63	204	72	4631	496	2803	1551	6231	1344	9366	7343	4415	1522	7335	5823	3464	5127	225	1457	465	425	578	445	271	3593	3408	11535	45	12854	4777	5248	8442	12633	5259	13924	9587	10678	8315
Lyases;Carbon-sulfur lyases;Carbon-sulfur lyases (only sub-subclass identified to date);EC:4.4.1.15	https://www.genome.jp/dbget-bin/www_bget?EC:4.4.1.15	EC:4.4.1.15	332	1645	2018	2420	1140	485	1092	3052	7873	852	7765	10654	402	6842	5618	3807	3636	3346	7832	4496	6082	269	1314	228	452	306	471	113	6019	1448	5281	3520	7166	4199	10786	7921	5412	3886	7737	6364	3874	5316	577	2348	950	684	1263	1348	697	4834	4807	12409	1756	14386	5668	6025	8666	13854	6057	15925	10720	12010	9281
Lyases;Carbon-sulfur lyases;Carbon-sulfur lyases (only sub-subclass identified to date);EC:4.4.1.16	https://www.genome.jp/dbget-bin/www_bget?EC:4.4.1.16	EC:4.4.1.16	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Lyases;Carbon-sulfur lyases;Carbon-sulfur lyases (only sub-subclass identified to date);EC:4.4.1.21	https://www.genome.jp/dbget-bin/www_bget?EC:4.4.1.21	EC:4.4.1.21	5880	12525	11103	15011	7268	4047	9362	2048	3626	3314	3919	2528	2315	3476	14511	9545	10982	25230	13456	11109	17389	7959	3876	5861	8976	4668	7679	3581	3369	2882	3794	4915	3692	4054	4456	7625	7100	6814	3705	5687	4387	3992	9988	9834	8508	10841	12443	8538	14159	3909	3205	2900	4233	4824	2523	2292	21234	14312	18812	9658	10190	10656	11436
Lyases;Carbon-sulfur lyases;Carbon-sulfur lyases (only sub-subclass identified to date);EC:4.4.1.25	https://www.genome.jp/dbget-bin/www_bget?EC:4.4.1.25	EC:4.4.1.25	233	1305	1338	1495	598	348	395	2874	7160	25	6914	9935	15	5834	3173	2776	3139	3049	7358	3516	4819	89	768	158	205	63	204	72	4631	496	2803	1551	6231	1344	9366	7343	4415	1522	7335	5823	3464	5127	225	1457	465	425	578	445	271	3593	3408	11535	45	12854	4777	5248	8442	12633	5259	13924	9587	10678	8315
Lyases;Carbon-sulfur lyases;Carbon-sulfur lyases (only sub-subclass identified to date);EC:4.4.1.5	https://www.genome.jp/dbget-bin/www_bget?EC:4.4.1.5	EC:4.4.1.5	9324	20043	19850	26566	13081	6296	11292	6541	19187	33114	30370	33598	15302	32882	20305	15320	11929	26588	14438	15676	27173	9254	8093	9635	12830	7579	12301	6372	10199	4611	10855	10290	10392	5939	16598	14604	12965	7528	14386	14929	10948	17470	15740	11917	8340	16013	21646	10355	17778	9606	10209	19155	12977	20306	10106	11246	18550	28227	31912	25459	21038	26864	19542
unknown	https://www.genome.jp/dbget-bin/www_bget?EC:4.4.1.8	EC:4.4.1.8	6026	10646	10936	13706	6892	5194	12426	13264	23898	23749	26121	27847	10087	24549	32900	22772	26605	54186	35798	30096	35431	12627	5296	4882	11164	4377	5799	3461	20332	8725	20443	23986	20652	14890	33352	31821	26667	18246	26152	27651	19664	26896	7784	17521	11806	9002	14821	10962	13441	20834	19598	35411	19162	42178	19842	25562	51201	56562	52582	53003	44322	50720	42248
Lyases;Phosphorus-oxygen lyases;Phosphorus-oxygen lyases (only sub-subclass identified to date);EC:4.6.1.1	https://www.genome.jp/dbget-bin/www_bget?EC:4.6.1.1	EC:4.6.1.1	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Lyases;Phosphorus-oxygen lyases;Phosphorus-oxygen lyases (only sub-subclass identified to date);EC:4.6.1.12	https://www.genome.jp/dbget-bin/www_bget?EC:4.6.1.12	EC:4.6.1.12	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Lyases;carbon-phosphorus lyases;carbon-phosphorus lyases (only sub-subclass identified to date);EC:4.7.1.1	https://www.genome.jp/dbget-bin/www_bget?EC:4.7.1.1	EC:4.7.1.1	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Lyases;Other lyases;Sole sub-subclass for lyases that do not belong in the other subclasses;EC:4.99.1.1	https://www.genome.jp/dbget-bin/www_bget?EC:4.99.1.1	EC:4.99.1.1	2396	3276	2768	3717	1646	1361	4388	204	739	857	921	737	435	1050	7777	2487	9310	6940	19502	4174	6009	2118	1290	264	1640	326	1939	839	1390	956	2490	1985	946	2869	1428	10946	3808	7122	3344	8871	5642	1135	4104	4406	6510	2799	5135	4446	7646	1323	1439	938	1863	1600	935	799	30756	10311	5958	7963	3940	2608	8610
Lyases;Other lyases;Sole sub-subclass for lyases that do not belong in the other subclasses;EC:4.99.1.3	https://www.genome.jp/dbget-bin/www_bget?EC:4.99.1.3	EC:4.99.1.3	3378	7491	8415	10319	4936	2435	3087	2161	1021	9037	2090	943	3307	2401	3314	3711	1830	1578	2110	3364	6809	1529	3152	3438	4055	2725	4704	2126	1123	533	565	5298	146	1054	1761	2152	1229	210	559	755	851	558	6535	2348	1790	5699	7349	2975	7161	2806	4196	1253	6362	3016	1991	6368	3946	5056	6342	3699	2793	1985	3088
Lyases;Other lyases;Sole sub-subclass for lyases that do not belong in the other subclasses;EC:4.99.1.4	https://www.genome.jp/dbget-bin/www_bget?EC:4.99.1.4	EC:4.99.1.4	6998	15791	16652	22011	10512	4221	7428	1979	3500	3103	3776	1927	2219	3110	14336	10942	6338	22218	4063	9465	19998	8142	6146	8414	11166	7030	10507	4972	3015	2168	3750	4889	2962	3701	4258	2500	5680	4264	2103	1504	1810	3159	12150	2200	3704	10352	13225	5708	13730	3739	3347	2697	3790	4526	2232	2004	5926	10652	18524	6887	8810	10048	7804
Isomerases;Racemases and epimerases;Acting on amino acids and derivatives;EC:5.1.1.1	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.1.1	EC:5.1.1.1	9217	18802	19042	24116	11706	7291	14675	16755	45754	70420	68262	76802	32163	72387	37120	27016	29888	57839	43464	33592	44802	14046	8276	8357	14738	6858	10340	5598	25214	9242	24748	24732	26351	13396	43195	38972	32166	17742	33734	33982	24384	36532	13502	18696	12985	14173	20894	12742	19194	23944	23420	50206	28487	54656	25574	30568	59767	70127	64654	65931	53072	64063	50866
Isomerases;Racemases and epimerases;Acting on amino acids and derivatives;EC:5.1.1.13	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.1.13	EC:5.1.1.13	1325	1640	1556	1675	696	957	2169	1358	873	7577	1989	2053	1902	2981	3813	1562	5343	4021	10703	2886	3425	981	570	124	930	74	886	410	2194	1228	4265	3816	475	548	2763	6484	4093	2815	2369	5572	4577	5426	2260	2626	3309	1618	2812	2139	4238	2142	3033	4751	3381	2669	2806	3699	17185	7491	9509	5246	2918	5366	6231
Isomerases;Racemases and epimerases;Acting on amino acids and derivatives;EC:5.1.1.18	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.1.18	EC:5.1.1.18	641	2778	3181	3250	1336	1034	1106	6803	14811	4550	14834	20318	1677	12859	6669	6234	7049	6608	15555	8264	10346	189	1734	342	634	158	458	155	9821	1255	5887	5749	12533	3214	19607	15708	9442	3147	14939	12017	7310	10525	808	3783	1226	1198	1742	1258	1169	8570	8616	23683	3228	27207	10532	13671	18745	27217	12406	29503	20529	22267	18046
Isomerases;Racemases and epimerases;Acting on amino acids and derivatives;EC:5.1.1.3	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.1.3	EC:5.1.1.3	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Isomerases;Racemases and epimerases;Acting on amino acids and derivatives;EC:5.1.1.7	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.1.7	EC:5.1.1.7	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Isomerases;Racemases and epimerases;Acting on hydroxy acids and derivatives;EC:5.1.2.3	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.2.3	EC:5.1.2.3	199	680	1360	1850	1083	274	1393	356	1426	1654	1702	1438	774	2016	4890	2062	993	595	948	1960	2526	360	1092	140	493	485	534	82	2776	1903	4956	3938	1869	5710	2839	1156	1993	4727	804	1082	820	378	704	1783	969	518	1370	1807	852	2482	2798	1748	3422	3063	1782	1554	448	2442	1596	4002	2267	2663	1932
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.1	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.1	EC:5.1.3.1	7543	14696	14168	19088	9518	5286	11380	6681	19874	33919	31178	34278	15700	33892	22748	14732	16544	29649	23994	17352	25416	8896	6255	6416	10166	5202	8800	4708	11583	5558	13336	12264	11329	8799	18011	20258	15362	12267	16238	19622	13887	18116	12150	13956	10639	12539	18378	10790	15907	10850	11032	20034	14678	21854	10984	12016	33816	32839	32724	30052	23492	28670	24074
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.13	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.13	EC:5.1.3.13	842	1141	1162	1488	659	566	1822	1699	2709	2202	2769	1114	1806	2064	6555	5217	5265	20805	2725	6685	7949	4948	88	1572	3705	1466	1032	723	1617	1202	1266	2912	2020	842	2817	1706	4674	1892	1659	937	1226	2938	160	89	824	87	186	326	1490	2422	756	1769	1907	2959	1271	1191	5254	7123	12594	4108	7510	8390	6326
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.14	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.14	EC:5.1.3.14	6296	12888	12444	16766	8425	4537	8838	6490	19148	33077	30292	33551	15289	32863	17637	12973	11641	26030	14006	14776	21780	7747	5337	6249	9222	4918	7697	4268	10194	4604	10852	10286	10388	5937	16588	14496	12960	7524	14365	14916	10861	17454	9922	11307	7142	11010	15469	8116	11871	9568	9613	19128	12891	20288	10071	11228	18326	27073	29346	25070	20955	26700	19286
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.15	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.15	EC:5.1.3.15	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.2	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.2	EC:5.1.3.2	8052	14192	13312	18156	9038	5367	12110	5328	14710	35269	26182	24739	17104	29114	23685	16142	18174	47108	18887	19542	27283	13575	5029	7760	13420	6363	9361	5318	7181	5312	9321	11656	6184	5442	10042	14043	14625	10274	10160	14195	11239	15738	11732	11696	10514	11942	17302	9768	16700	8438	6981	9394	14829	10428	6587	7182	30404	26108	39260	18235	20281	25050	21119
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.20	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.20	EC:5.1.3.20	1248	1808	1724	2321	1094	749	2542	191	726	842	886	728	411	1029	5111	1759	4904	3618	9988	2577	3636	1149	918	167	944	284	1103	440	1389	954	2484	1977	940	2862	1424	5762	2402	4742	1873	4706	3026	662	2228	2648	3498	1529	2910	2674	4036	1282	1419	906	1787	1566	913	788	15490	5766	3378	4982	2536	1970	4788
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.22	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.22	EC:5.1.3.22	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.24	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.24	EC:5.1.3.24	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.29	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.29	EC:5.1.3.29	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.3	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.3	EC:5.1.3.3	6220	13060	12620	17432	8826	4336	9218	5613	19370	29404	30138	33822	14029	32680	19760	13322	11366	25818	13642	14524	22335	7916	5685	6293	9245	5128	7914	4298	11023	5292	13050	9608	11252	8266	17132	14052	13344	9785	14498	15086	10889	17372	9916	11330	7330	10921	15568	8652	11670	9424	9212	19390	11464	20321	9984	8830	16689	26343	28256	25416	20734	27121	18836
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.30	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.30	EC:5.1.3.30	3203	7323	7910	10059	4796	2097	2771	1106	530	4537	1084	495	1660	1210	2991	3029	1059	1068	1271	2132	6101	1518	2954	3412	3831	2693	4654	2115	564	270	284	2651	75	528	886	1130	617	107	290	384	469	287	6177	1479	1494	5351	6763	2607	6534	1422	2396	640	3224	1517	1013	3193	2085	3105	4454	2044	1438	1074	1672
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.31	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.31	EC:5.1.3.31	3203	7323	7910	10059	4796	2097	2771	1106	530	4537	1084	495	1660	1210	2991	3029	1059	1068	1271	2132	6101	1518	2954	3412	3831	2693	4654	2115	564	270	284	2651	75	528	886	1130	617	107	290	384	469	287	6177	1479	1494	5351	6763	2607	6534	1422	2396	640	3224	1517	1013	3193	2085	3105	4454	2044	1438	1074	1672
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.32	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.32	EC:5.1.3.32	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.4	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.4	EC:5.1.3.4	2514	3803	5058	7124	3800	1674	4866	5116	12022	4712	12251	13210	2985	10924	18536	11631	10791	25042	13023	13598	17411	6232	3360	2240	5156	2453	2637	1920	10414	4553	11506	10390	11058	10756	16450	14195	12243	11636	14099	14546	9585	12487	2642	5125	3628	1954	6903	4017	3462	9742	8367	15932	7100	20416	8728	8778	16332	25144	21170	26236	21536	24330	18478
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.7	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.7	EC:5.1.3.7	842	1141	1162	1488	659	566	1822	1699	2709	2202	2769	1114	1806	2064	6555	5217	5265	20805	2725	6685	7949	4948	88	1572	3705	1466	1032	723	1617	1202	1266	2912	2020	842	2817	1706	4674	1892	1659	937	1226	2938	160	89	824	87	186	326	1490	2422	756	1769	1907	2959	1271	1191	5254	7123	12594	4108	7510	8390	6326
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.8	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.8	EC:5.1.3.8	3205	7327	7917	10078	4800	2104	2778	1396	899	7599	2032	2091	1891	2979	3815	3181	1224	1258	1621	2189	6445	1519	2954	3413	3840	2693	4654	2115	2198	1233	4262	3812	473	543	2770	1408	2692	440	919	1420	2048	4969	6203	1479	1494	5351	6764	2607	6535	2139	3609	4746	3391	2653	2819	3706	2143	4100	9495	2654	1598	4891	2665
Isomerases;Racemases and epimerases;Acting on carbohydrates and derivatives;EC:5.1.3.9	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.3.9	EC:5.1.3.9	942	1481	1842	2413	1200	703	2518	1877	3422	3029	3620	1833	2193	3072	9000	6248	5762	21102	3199	7665	9212	5128	634	1642	3952	1708	1299	764	3005	2154	3744	4881	2954	3697	4236	2284	5670	4256	2061	1478	1636	3127	512	980	1308	346	871	1230	1916	3663	2155	2643	3618	4490	2162	1968	5478	8344	13392	6109	8644	9722	7292
Isomerases;Racemases and epimerases;Acting on other compounds;EC:5.1.99.1	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.99.1	EC:5.1.99.1	175	168	505	260	140	338	316	1055	491	4500	1006	448	1647	1191	323	682	771	510	839	1232	708	11	198	26	224	32	50	11	559	263	281	2647	71	526	875	1022	612	103	269	371	382	271	358	869	296	348	586	368	627	1384	1800	613	3138	1499	978	3175	1861	1951	1888	1655	1355	911	1416
Isomerases;Racemases and epimerases;Acting on other compounds;EC:5.1.99.6	https://www.genome.jp/dbget-bin/www_bget?EC:5.1.99.6	EC:5.1.99.6	6470	13056	12950	17026	8565	4875	9154	7545	19639	37577	31298	33999	16936	34054	17960	13655	12412	26540	14845	16008	22488	7758	5535	6275	9446	4950	7747	4279	10753	4867	11133	12934	10460	6463	17462	15518	13572	7628	14634	15287	11243	17725	10280	12176	7438	11358	16055	8484	12498	10952	11413	19741	16029	21788	11049	14402	20187	29024	31234	26725	22310	27612	20702
Isomerases;cis-trans-Isomerases;cis-trans Isomerases (only sub-subclass identified to date);EC:5.2.1.8	https://www.genome.jp/dbget-bin/www_bget?EC:5.2.1.8	EC:5.2.1.8	16482	31233	31418	42671	21646	11454	27642	10875	28295	46715	41260	41581	22010	44629	56392	32417	36580	60790	52166	37627	54319	19569	14842	13120	22048	11596	19568	9948	23841	14414	32289	31668	20708	30522	31872	40970	30624	36876	27995	39253	27396	27841	27684	32668	26248	27216	41826	27424	37283	23634	24458	28830	32406	37408	19861	22164	75485	62699	61715	58554	44280	50132	47484
Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;EC:5.3.1.1	https://www.genome.jp/dbget-bin/www_bget?EC:5.3.1.1	EC:5.3.1.1	7852	15829	15332	19918	9715	5835	11394	10432	26812	37617	38247	43943	16975	39909	23799	17159	19958	32910	31717	21120	29680	8816	6675	6530	10348	5055	8787	4750	15385	5365	13942	14492	16696	7814	26832	28045	19393	11528	23440	25275	17323	23325	12380	15390	10916	13053	18858	10700	16379	14586	14841	31308	16150	34676	15848	19662	43895	46202	39072	43630	33300	38928	32839
