#observation_name	sampleA_R1	sampleB_R1
Cluster_645	3	0
Cluster_646	5	0
Cluster_647	4	0
Cluster_648	6	0
Cluster_649	3	0
Cluster_650	6	0
Cluster_651	3	0
Cluster_652	3	0
Cluster_653	3	0
Cluster_654	3	0
Cluster_655	9	0
Cluster_656	4	0
Cluster_657	5	0
Cluster_658	3	0
Cluster_659	7	0
Cluster_660	4	0
Cluster_661	5	0
Cluster_662	5	0
Cluster_663	3	0
Cluster_664	5	0
Cluster_665	5	0
Cluster_666	3	0
Cluster_667	3	0
Cluster_668	3	0
Cluster_669	6	0
Cluster_670	20	0
Cluster_671	4	0
Cluster_672	3	0
Cluster_673	3	0
Cluster_674	4	0
Cluster_675	3	0
Cluster_676	3	0
Cluster_677	3	0
Cluster_678	3	0
Cluster_679	3	0
Cluster_680	5	0
Cluster_681	4	0
Cluster_682	3	0
Cluster_683	3	0
Cluster_684	6	0
Cluster_685	3	0
Cluster_686	3	0
Cluster_687	3	0
Cluster_688	4	0
Cluster_689	6	0
Cluster_690	3	0
Cluster_691	3	0
Cluster_692	3	0
Cluster_693	28	0
Cluster_694	3	0
Cluster_695	3	0
Cluster_696	3	0
Cluster_697	3	0
Cluster_698	11	0
Cluster_699	3	0
Cluster_700	3	0
Cluster_701	12	0
Cluster_702	10	0
Cluster_703	3	0
Cluster_704	5	0
Cluster_705	5	0
Cluster_706	7	0
Cluster_707	3	0
Cluster_708	3	0
Cluster_709	3	0
Cluster_710	5	0
Cluster_711	3	0
Cluster_712	6	0
Cluster_713	28	0
Cluster_714	3	0
Cluster_715	8	0
Cluster_716	3	0
Cluster_717	3	0
Cluster_718	6	0
Cluster_719	3	0
Cluster_720	3	0
Cluster_721	3	0
Cluster_722	5	0
Cluster_723	27	0
Cluster_724	3	0
Cluster_725	3	0
Cluster_726	3	0
Cluster_727	5	0
Cluster_728	4	0
Cluster_729	4	0
Cluster_730	3	0
Cluster_731	4	0
Cluster_732	3	0
Cluster_733	3	0
Cluster_734	4	0
Cluster_735	3	0
Cluster_736	3	0
Cluster_737	5	0
Cluster_738	6	0
Cluster_739	8	0
Cluster_740	7	0
Cluster_741	3	0
Cluster_742	10	0
Cluster_743	3	0
Cluster_744	4	0
Cluster_745	4	0
Cluster_746	4	0
Cluster_747	6	0
Cluster_748	4	0
Cluster_749	4	0
Cluster_750	3	0
Cluster_751	3	0
Cluster_752	11	0
Cluster_753	3	0
Cluster_754	3	0
Cluster_755	3	0
Cluster_756	5	0
Cluster_757	3	0
Cluster_758	4	0
Cluster_759	3	0
Cluster_760	23	0
Cluster_761	3	0
Cluster_762	4	0
Cluster_763	3	0
Cluster_764	4	0
Cluster_765	6	0
Cluster_766	3	0
Cluster_767	8	0
Cluster_768	3	0
Cluster_769	7	0
Cluster_770	3	0
Cluster_771	4	0
Cluster_772	5	0
Cluster_773	3	0
Cluster_774	3	0
Cluster_775	7	0
Cluster_776	6	0
Cluster_777	7	0
Cluster_778	9	10000
Cluster_779	4	0
Cluster_780	5	0
Cluster_781	29	0
Cluster_782	3	0
Cluster_783	6	0
Cluster_784	3	0
Cluster_785	3	0
Cluster_786	3	0
Cluster_787	3	0
Cluster_788	3	0
Cluster_789	7	0
Cluster_790	3	0
Cluster_791	10	0
Cluster_792	6	0
Cluster_793	3	0
Cluster_794	4	0
Cluster_795	11	0
Cluster_796	3	0
Cluster_797	3	0
Cluster_798	3	0
Cluster_799	3	0
Cluster_800	3	0
Cluster_801	3	0
Cluster_802	3	0
Cluster_803	3	0
Cluster_804	3	0
Cluster_805	3	0
Cluster_806	3	0
