#id	sampleA_R1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17498:8034.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8373:10136.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15033:4050.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22674:9798.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13770:9093.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10415:8525.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18187:3636.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13823:9546.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10007:8141.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:5171:10156.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10698:5141.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11760:6865.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20731:9465.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9362:4880.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13575:2155.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20876:4048.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22073:9030.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8913:3750.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19361:8993.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10019:5306.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:23556:9707.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20501:4493.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17131:7016.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8411:4009.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14982:2858.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:5241:7907.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11685:9515.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13950:6952.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:26197:8673.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15701:10001.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22619:7733.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19581:5807.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21893:8636.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10158:3539.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12088:9443.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16148:5169.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11935:3848.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17178:7172.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:23460:9636.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:25909:6672.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16214:6673.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22453:9009.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14478:5019.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15326:6576.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22784:9423.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19821:3852.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:5428:8846.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:24671:8602.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22624:9526.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10253:9451.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17639:3901.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:5312:10398.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20578:10133.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14807:9323.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7021:10274.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22380:9984.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7833:9555.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:5292:9630.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12818:10005.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:27843:9466.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18313:9205.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18322:7259.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9100:10292.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10801:4371.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22291:8643.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15040:4483.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14730:4016.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8478:4769.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:24327:9686.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12959:3183.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19453:9251.1	1
