#id	sample1_ITS1	sample2_ITS1
M00842:223:000000000-B33D5:1:1113:18374:17858_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:10593:22992_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:15444:2358_ITS1	1	0
M00842:223:000000000-B33D5:1:1109:28448:12101_ITS1	1	0
M00842:223:000000000-B33D5:1:1117:11960:22569_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:25344:12679_ITS1	2	0
M00842:223:000000000-B33D5:1:1111:10206:10894_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:3050:7858_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:8736:6094_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:26763:6163_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:8168:22195_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:2481:16909_ITS1	0	1
M00842:223:000000000-B33D5:1:1103:6317:20417_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:26545:8219_ITS1	1	0
M00842:223:000000000-B33D5:1:1103:8565:22137_ITS1	0	1
M00842:223:000000000-B33D5:1:1109:14079:8101_ITS1	1	0
M00842:223:000000000-B33D5:1:1108:3747:12604_ITS1	1	0
M00842:223:000000000-B33D5:1:1107:23325:18232_ITS1	19	20
M00842:223:000000000-B33D5:1:1116:23944:13606_ITS1	0	1
M00842:223:000000000-B33D5:1:1118:8938:6515_ITS1	0	2
M00842:223:000000000-B33D5:1:1104:7614:16523_ITS1	1	0
M00842:223:000000000-B33D5:1:1115:29025:17500_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:9053:2652_ITS1	0	1
M00842:223:000000000-B33D5:1:1108:18967:5638_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:19669:13802_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:19640:7646_ITS1	1	1
M00842:223:000000000-B33D5:1:1111:3179:16956_ITS1	0	1
M00842:223:000000000-B33D5:1:1116:22573:11480_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:15293:22558_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:24484:3592_ITS1	1	0
M00842:223:000000000-B33D5:1:1112:24300:7667_ITS1	0	1
M00842:223:000000000-B33D5:1:1110:3195:15071_ITS1	1	0
M00842:223:000000000-B33D5:1:1109:2247:16360_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:4217:5463_ITS1	1	0
M00842:223:000000000-B33D5:1:1103:25868:5871_ITS1	1	3
M00842:223:000000000-B33D5:1:1101:7476:14536_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:19718:5780_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:17606:11471_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:5709:22171_ITS1	0	1
M00842:223:000000000-B33D5:1:1103:11544:7023_ITS1	0	1
M00842:223:000000000-B33D5:1:1118:14674:10359_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:22069:6259_ITS1	16	11
M00842:223:000000000-B33D5:1:1116:3818:11575_ITS1	0	1
M00842:223:000000000-B33D5:1:1116:26055:4454_ITS1	0	2
M00842:223:000000000-B33D5:1:1105:25314:7780_ITS1	0	1
M00842:223:000000000-B33D5:1:1113:21601:13877_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:20193:21033_ITS1	0	1
M00842:223:000000000-B33D5:1:1107:3424:15934_ITS1	2	3
M00842:223:000000000-B33D5:1:1111:16787:17355_ITS1	0	1
M00842:223:000000000-B33D5:1:1108:4122:6909_ITS1	1	0
M00842:223:000000000-B33D5:1:1118:15723:2705_ITS1	0	1
M00842:223:000000000-B33D5:1:1110:5394:6521_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:6631:3195_ITS1	1	0
M00842:223:000000000-B33D5:1:1106:3648:8831_ITS1	4	2
M00842:223:000000000-B33D5:1:1117:4585:20380_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:7124:17266_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:10190:19633_ITS1	1	0
M00842:223:000000000-B33D5:1:1108:8208:24097_ITS1	1	0
M00842:223:000000000-B33D5:1:1109:13080:18973_ITS1	1	0
M00842:223:000000000-B33D5:1:1109:25879:12039_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:10051:20209_ITS1	0	1
M00842:223:000000000-B33D5:1:1114:10566:24441_ITS1	0	1
M00842:223:000000000-B33D5:1:1107:3192:7897_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:5960:8597_ITS1	0	1
M00842:223:000000000-B33D5:1:1103:22218:16032_ITS1	19	19
M00842:223:000000000-B33D5:1:1107:3046:14707_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:22287:12646_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:4333:16452_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:13709:23719_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:5257:4728_ITS1	1	0
M00842:223:000000000-B33D5:1:1112:4958:13810_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:7276:2400_ITS1	1	0
M00842:223:000000000-B33D5:1:1116:13495:12349_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:17606:2286_ITS1	1	0
M00842:223:000000000-B33D5:1:1108:8134:4889_ITS1	1	0
M00842:223:000000000-B33D5:1:1109:7484:24131_ITS1	1	0
M00842:223:000000000-B33D5:1:1108:29502:11746_ITS1	2	4
M00842:223:000000000-B33D5:1:1117:20194:20405_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:13171:8623_ITS1	0	1
M00842:223:000000000-B33D5:1:1107:7286:4346_ITS1	1	0
M00842:223:000000000-B33D5:1:1106:21763:2388_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:16613:17107_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:15991:13413_ITS1	3	8
M00842:223:000000000-B33D5:1:1117:3738:16206_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:13853:6206_ITS1	0	1
M00842:223:000000000-B33D5:1:1103:26876:21497_ITS1	1	0
M00842:223:000000000-B33D5:1:1105:28953:12255_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:5931:9832_ITS1	1	0
M00842:223:000000000-B33D5:1:1115:12090:21658_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:3801:9521_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:11094:4864_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:6981:10820_ITS1	0	1
M00842:223:000000000-B33D5:1:1108:11072:7049_ITS1	1	0
M00842:223:000000000-B33D5:1:1110:15511:19621_ITS1	0	1
M00842:223:000000000-B33D5:1:1103:19917:9327_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:10448:2148_ITS1	50	47
M00842:223:000000000-B33D5:1:1106:14647:4865_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:6674:14827_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:6604:14120_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:5318:6097_ITS1	0	1
M00842:223:000000000-B33D5:1:1114:10174:20780_ITS1	0	1
M00842:223:000000000-B33D5:1:1116:16147:6748_ITS1	0	7
M00842:223:000000000-B33D5:1:1107:27849:14190_ITS1	0	1
M00842:223:000000000-B33D5:1:1110:21235:15267_ITS1	0	1
M00842:223:000000000-B33D5:1:1109:16491:19525_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:3759:7069_ITS1	0	3
M00842:223:000000000-B33D5:1:1115:26473:18682_ITS1	0	1
M00842:223:000000000-B33D5:1:1116:26130:22036_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:6625:6809_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:12277:21079_ITS1	3	2
M00842:223:000000000-B33D5:1:1111:12362:6151_ITS1	1	0
M00842:223:000000000-B33D5:1:1107:17731:6987_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:15812:7459_ITS1	0	1
M00842:223:000000000-B33D5:1:1108:21362:8299_ITS1	1	0
M00842:223:000000000-B33D5:1:1115:15560:5065_ITS1	0	1
M00842:223:000000000-B33D5:1:1107:17107:12813_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:12557:22550_ITS1	0	1
M00842:223:000000000-B33D5:1:1109:3609:13560_ITS1	0	2
M00842:223:000000000-B33D5:1:1113:7496:16269_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:2948:8196_ITS1	1	0
M00842:223:000000000-B33D5:1:1115:16140:18960_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:16359:5422_ITS1	0	1
M00842:223:000000000-B33D5:1:1109:3346:16648_ITS1	1	0
M00842:223:000000000-B33D5:1:1118:8298:24832_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:18201:15621_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:3649:10400_ITS1	1	0
M00842:223:000000000-B33D5:1:1115:17971:24807_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:6201:18303_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:21824:9275_ITS1	6	29
M00842:223:000000000-B33D5:1:1115:9078:5796_ITS1	0	1
M00842:223:000000000-B33D5:1:1113:26298:19708_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:3567:9196_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:18137:6446_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:7134:4588_ITS1	1	0
M00842:223:000000000-B33D5:1:1106:13385:22346_ITS1	1	0
M00842:223:000000000-B33D5:1:1107:5795:7754_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:21955:12269_ITS1	5	7
M00842:223:000000000-B33D5:1:1116:26224:19912_ITS1	0	1
M00842:223:000000000-B33D5:1:1114:7367:11891_ITS1	0	1
M00842:223:000000000-B33D5:1:1103:13996:24193_ITS1	0	1
