#id	sampleA_R1	sampleB_R1
ERR619083.M00704:57:000000000-A5HJE:1:1103:8546:5478.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:8949:26175.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:20974:9849.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:17418:24377.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:10631:21205.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:8186:15000.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:10079:19891.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:7303:19693.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:25338:19057.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:6034:13492.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:24377:16505.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:11717:17925.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:12255:6515.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:12036:9362.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:16185:27650.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:14497:11866.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:8627:7754.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:11423:24014.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:5257:9202.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:22197:12891.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:28880:18482.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:13643:18655.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:11739:22054.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:28952:11724.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:10624:19408.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:3886:9144.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:23718:24110.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:17038:6909.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:25075:12161.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:5058:21914.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:9096:20320.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:9244:13969.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:21565:3962.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:10112:15614.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:20589:24466.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:15213:9608.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:14184:5588.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:27886:12907.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:22383:24396.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:24583:13987.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:19111:22047.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:22419:12080.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:23655:18167.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:5337:7229.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:6664:9748.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:18049:23420.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:24037:11209.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:12104:5277.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:25039:23135.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:18534:7672.1	1	0
