#seed_id	observation_name	observation_sum	sampleA_R1	sampleB_R1
ERR619083.M00704:57:000000000-A5HJE:1:1104:20646:17991.1	Cluster_113	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:17263:20019.1	Cluster_114	12	12	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:9783:11442.1	Cluster_115	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:23714:14308.1	Cluster_116	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:17271:15903.1	Cluster_117	16	16	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:18138:27376.1	Cluster_118	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:18243:7322.1	Cluster_119	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:16238:10556.1	Cluster_120	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:27195:16540.1	Cluster_121	22	22	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:12666:15500.1	Cluster_122	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:21438:20472.1	Cluster_123	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:23461:17633.1	Cluster_124	57	57	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:16828:9032.1	Cluster_125	31	31	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:21145:23167.1	Cluster_126	15	15	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:3989:10453.1	Cluster_127	30	30	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:12984:10616.1	Cluster_128	19	19	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:19747:3752.1	Cluster_129	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:15509:16111.1	Cluster_130	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:5131:11970.1	Cluster_131	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:8090:19243.1	Cluster_132	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:8034:9271.1	Cluster_133	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:19601:17291.1	Cluster_134	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:13607:10051.1	Cluster_135	18	18	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:22574:3972.1	Cluster_136	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:15400:8496.1	Cluster_137	29	29	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:8508:3924.1	Cluster_138	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:17000:2771.1	Cluster_139	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:13066:10053.1	Cluster_140	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:17787:13129.1	Cluster_141	19	19	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:19702:28281.1	Cluster_142	18	18	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:11346:20548.1	Cluster_143	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:18699:12466.1	Cluster_144	13	13	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:21591:12961.1	Cluster_145	20	20	0
